topic,tokencount,words,topicname
0,2691,"labor favor business rights present make free adequate end maintain",
1,2375,"government war public industry power nations production tax essential executive",
2,2612,"republican great party public commerce country prosperity confidence rates established",
3,3409,"policy party national congress president service conditions state time international",
4,1672,"peace justice transportation living economy cost financial give increase marine",
5,2871,"federal states act farm development products private economic basis sound",
6,3606,"administration united foreign made nation world people republican system citizens",
7,1429,"tariff agriculture aid work interest system continue coolidge adopted market",
8,2298,"people government democratic laws states civil law tariff legislation order",
9,1599,"national deal program defense security pledge regulation local agriculture agencies",
