topic,tokencount,words,topicname
0,40397,"states federal world united government nation state encourage nations increased",
1,22335,"republicans republican support tax free government states congress family people",
2,38909,"democratic party national administration rights government support economic people public",
3,30973,"children work make health care communities schools ensure democrats economy",
4,23536,"soviet economic u.s administration percent commitment reagan policies energy policy",
5,25653,"leadership home freedom trade law taxes national political markets research",
6,28798,"program pledge continue act years development peace million president year",
7,15602,"republican administration free defense power favor congress national nations service",
8,13795,"president years clinton education people bill families responsibility democrats bush",
9,34629,"programs federal education system support local development housing health problems",
