topic,tokencount,words,topicname
0,15287,"federal programs policy energy government efforts development continue health areas",
1,13412,"states private assistance time training forces business nuclear nations financial",
2,10377,"pledge republican united security world nations peace program people leadership",
3,17295,"work president children years people make families party government america's",
4,7977,"act program million world federal research employment housing aid facilities",
5,10659,"economic u.s reagan human commitment world soviet international economy united",
6,16608,"support tax social people education rights government income local housing",
7,12820,"democratic administration party policies rights interest foreign defense small industry",
8,17737,"national public nation full programs economic law provide benefits development",
9,7726,"democrats security workers schools gore clinton values support world economy",
