topic,tokencount,words,topicname
0,28221,"soviet policy economic programs party energy work efforts human united",
1,17313,"republican republicans states administration free defense freedom families family trade",freedom and prosperity
2,43909,"support federal government people military tax education private system jobs",
3,41471,"government states federal policy united congress legislation people foreign peace",governing
4,24104,"republican party favor country labor people service administration democratic great",
5,42264,"democratic administration economic national security provide full resources defense employment",security and defense
6,24021,"work years democrats president make families children party people america's",families
7,27111,"care health ensure rights future reform country children president opportunity",
8,35706,"program continue pledge development programs world federal million nation areas",
9,37798,"national public world home war laws economy law enforcement interest",
