topic,tokencount,words,topicname
0,11148,"care support republicans bill ensure clinton private technology bush u.s",
1,15368,"programs federal program continue development areas problems pledge support research",
2,18253,"states people future families america's security health leadership trade children",
3,16468,"republicans administration soviet support energy tax percent policies growth forces",
4,21556,"economic policy states national people defense party work military encourage",
5,15731,"administration government pledge farm power peace nation act national service",
6,11607,"party republican people country great protection law president war policy",
7,17215,"president efforts years health opportunity law education year peace million",
8,20431,"government republican public system congress time life international citizens economy",
9,21514,"federal united world nations foreign free rights control provide private",
