topic,tokencount,words,topicname
0,16136,"year health reform work rights economic oil proposed programs rural",
1,22698,"economic people peace great world power made present security nations",
2,17492,"congress people world nation government years union peace hope today",
3,13038,"year war dollars fiscal million expenditures total united government public",
4,23548,"year opportunity education american state make home long public america",
5,35591,"congress administration legislation energy development policy program continue international provide",
6,27974,"federal programs government budget increase billion program tax local american",
7,17551,"america people work children american americans make care tonight time",
8,10929,"free world nations defense freedom military united strength europe progress",
9,19244,"years support security national working states social economy country strengthen",
