topic,tokencount,words
0,4834,"government public federal economic agriculture agricultural farm products act tax"
1,5772,"federal system pledge power industry nation life private make interests"
2,4541,"republican party president foreign great world labor principle duty commission"
3,3736,"party democratic republican favor legislation monopoly passed interstate election powers"
4,7124,"states administration united policy favor country congress laws control rights"
5,3598,"war peace nations world time act effective women international production"
6,3381,"security labor free national program defense farm continue deal foreign"
7,3218,"people democratic condemn purpose free labor business doctrine service constitution"
8,6019,"government national law tariff end made state development citizens demand"
9,5068,"people protection public years legislation principles work home interest prosperity"
