topic,tokencount,words
0,14006,"republican families percent administration u.s america's security private support trade"
1,20399,"federal states united system local provide party resources political services"
2,10740,"administration government republican pledge programs nations state power congress federal"
3,17347,"policy soviet energy military programs work policies forces defense housing"
4,18241,"continue development people war international year years areas full responsibility"
5,12995,"care congress health children president ensure communities world environmental schools"
6,5162,"bill clinton law act make congressional military social restore interests"
7,12794,"economic support education women years president strong important efforts rates"
8,16284,"program world national freedom free public rights party security farm"
9,16761,"government republicans people tax family jobs democrats home encourage taxes"
