topic,tokencount,words
0,12972,"men man law nation country labor corporations interstate power people"
1,23466,"government great work states state part business question legislation control"
2,23042,"war peace great country people make men means give present"
3,11622,"world congress nation nations people national united time economic government"
4,12332,"good islands people united made rights provided individual exercise territory"
5,6620,"war forces year men freedom production fighting common american japanese"
6,30745,"congress american law made time foreign service commission system order"
7,14929,"united states department year government canal secretary trade court treaty"
8,26953,"public national years large power general conditions policy make land"
9,19743,"government federal country year made agriculture congress expenditures local system"
