topic,tokencount,words
0,38205,"year federal program economic years congress programs major development system"
1,14233,"people america work years year tonight make children congress time"
2,12301,"united government states department american foreign officers canal trade secretary"
3,14481,"world free freedom nations strength defense security military economic today"
4,11528,"care americans american century health support community welfare challenge schools"
5,32213,"states national government international administration legislation support make public effort"
6,10394,"dollars war fiscal million expenditures year united billion program total"
7,10175,"america billion history efforts vietnam union progress cities million nation"
8,20635,"public federal government agriculture national system large work industry reduction"
9,34596,"congress made order action control special give executive policy development"
10,25021,"law public great work business army conditions proper system state"
11,9094,"matter war hundred make duty thought ships set political liberty"
12,31569,"country government present service time made commission law general countries"
13,16597,"energy administration policy reform legislation oil rights world million united"
14,34697,"people peace nation world great american nations life time united"
15,5552,"war men forces production fighting japanese enemies victory common total"
16,12523,"states islands united treaty year service powers civil general territory"
17,21301,"government states national put great interest end long spirit provide"
18,18363,"budget tax american jobs percent future americans spending growth america's"
19,13147,"men man labor people power good officers laws interstate corporations"
