topic,tokencount,words
0,45231,"law country made government service navy commerce officers proper duty"
1,25734,"men great man business power public good work labor conditions"
2,31823,"states united department year foreign court secretary trade canal commission"
3,56230,"year program federal economic system million increase billion programs budget"
4,54627,"government public congress national war legislation policy expenditures federal present"
5,57053,"congress government american people years make time nation national states"
6,27462,"world nations free freedom united strength military security peace forces"
7,32581,"america people work americans children year tonight years make american"
8,31301,"administration energy congress legislation policy programs rights reform efforts work"
9,24583,"war great people men world nation peace hope means time"
